iter	RMSE
130	0.3073331699
131	0.3069216617
132	0.3062323992
133	0.3052537624
134	0.3044458177
135	0.3039157787
136	0.3034432464
137	0.3031175435
138	0.3029289279
139	0.3024123711
140	0.3018383504
141	0.301222047
142	0.3004804787
143	0.2999832447
144	0.2991576882
145	0.2986322149
146	0.297628716
147	0.2973297169
148	0.2971215877
149	0.2967562252
150	0.2962338588
151	0.2958608717
152	0.2954828435
153	0.2947836853
154	0.2936711913
155	0.293222851
156	0.2926241308
157	0.2919619902
158	0.2918067514
159	0.2914690342
160	0.2912820973
161	0.2898410549
162	0.2896015504
163	0.2892818171
164	0.2885468334
165	0.2883682712
166	0.2877634734
167	0.2874440383
168	0.2869831018
169	0.2867528074
170	0.2862294676
171	0.2858207158
172	0.2855630794
173	0.2851901057
174	0.2846880848
175	0.2838014871
176	0.2832792197
177	0.2830733427
178	0.2823919159
179	0.2819888286
180	0.2815390992
181	0.2812387832
182	0.2810690187
183	0.280456112
184	0.2801946718
185	0.2800356879
186	0.2798312057
187	0.2795288157
188	0.2788911148
189	0.2785855517
190	0.278183368
191	0.2779157961
192	0.2777028385
193	0.2774425164
194	0.2769376238
195	0.2767080031
196	0.2763894098
197	0.2762479816
198	0.2760833876
199	0.2751088792
200	0.2750003578
201	0.2748627437
202	0.274625124
203	0.2737119799
204	0.273433642
205	0.2732093627
206	0.272912277
207	0.2726303747
208	0.2720037895
209	0.271674304
210	0.2713458665
211	0.2711813517
212	0.2710555502
213	0.2707351023
214	0.269971133
215	0.26972291
216	0.2695404768
217	0.2691419659
218	0.2690227305
219	0.2685156225
220	0.2678801486
221	0.2672687011
222	0.2670993941
223	0.2668817905
224	0.2667777421
225	0.2662506364
226	0.265849417
227	0.2653584917
228	0.2652452828
229	0.2650885732
230	0.2645000276
231	0.2641705235
232	0.2640670096
233	0.2637802514
234	0.2634922107
235	0.263291453
236	0.2631330691
237	0.262655779
238	0.262417558
239	0.2621666983
240	0.2616304955
241	0.2614480148
242	0.2608516981
243	0.2607532393
244	0.2604181732
245	0.2602978628
246	0.2600435208
247	0.2595228407
248	0.2593711057
249	0.2591965621
250	0.2589976333
251	0.2586149755
252	0.2581133198
253	0.2580303614
254	0.257949552
255	0.2576281344
256	0.2574607554
257	0.2571411791
258	0.2567240796
259	0.2566287058
260	0.2564574488
261	0.256073207
262	0.2558292942
263	0.255474996
264	0.2554032653
265	0.2552619015
266	0.2549264274
267	0.2548333551
268	0.2546830253
269	0.2545349526
270	0.2543404646
271	0.2542205639
272	0.253974967
273	0.2537985329
274	0.253593166
275	0.2533981946
276	0.2532295288
277	0.2530979995
278	0.2523964032
279	0.2516451315
280	0.2513023601
281	0.2511613213
282	0.2506870568
283	0.2502701944
284	0.2500970397
285	0.24975976
286	0.249479767
287	0.2492994652
288	0.2490126022
289	0.2488098583
290	0.2485851055
291	0.2483533524
292	0.2482407837
293	0.248066888
294	0.2478700979
295	0.2476764879
296	0.2473778557
297	0.2472477202
298	0.2469148011
299	0.2466817475
300	0.246561533
301	0.2464933166
302	0.2459590338
303	0.245807876
304	0.2456803424
305	0.2451577705
306	0.2449017391
307	0.2446098154
308	0.2444447165
309	0.2443085074
310	0.2441186167
311	0.2439703446
312	0.2438045839
313	0.2435873997
314	0.2433841414
315	0.2431512054
316	0.242858579
317	0.2426722159
318	0.2424678378
319	0.2422056937
320	0.2420217889
321	0.2419170438
322	0.2415911976
323	0.2413617354
324	0.241208706
325	0.2410832944
326	0.2406888242
327	0.2402841945
328	0.2400792707
329	0.2397956325
330	0.2393297438
331	0.2391943659
332	0.2389634139
333	0.2387417449
334	0.238646712
335	0.238484041
336	0.2383230216
337	0.2381104612
338	0.2379499021
339	0.237896557
340	0.2377218591
341	0.237592053
342	0.237423883
343	0.2372773158
344	0.2369301119
345	0.23671587
346	0.2363746853
347	0.2361506242
348	0.2360265128
349	0.2357807663
350	0.235446225
351	0.2353626521
352	0.2352909884
353	0.2351395424
354	0.2349954645
355	0.2347938717
356	0.2346604744
357	0.2345130045
358	0.2343561165
359	0.2341111732
360	0.2337923057
361	0.2336939322
362	0.2335641503
363	0.2333938348
364	0.2332803244
365	0.233104261
366	0.2330139724
367	0.2328261742
368	0.2327157719
369	0.2326167558
370	0.2323671779
371	0.2323063595
372	0.2321199699
373	0.2319486088
374	0.2317960619
375	0.2313663771
376	0.2312152078
377	0.2310158094
378	0.2309013969
379	0.230817351
380	0.2307854282
381	0.2306246941
382	0.2304205896
383	0.2301263683
384	0.2299290735
385	0.2298253101
386	0.2296955477
387	0.2295420953
388	0.2294557064
389	0.2292973882
390	0.2290790447
391	0.2289191892
392	0.2287702561
393	0.2286448334
394	0.2285176982
395	0.2283355316
396	0.2281772073
397	0.228006114
398	0.2279524548
399	0.2278459747
400	0.2277594681
401	0.2276488378
402	0.2275566862
403	0.2274279568
404	0.2273107352
405	0.2272300648
406	0.2270193499
407	0.2269322259
408	0.2267431021
409	0.2266705743
410	0.2265031071
411	0.226419976
412	0.2263334297
413	0.2262088476
414	0.2260123505
415	0.2258837006
416	0.2258161868
417	0.2257730533
418	0.2254943254
419	0.2253345593
420	0.2250893861
421	0.2248840107
422	0.224696517
423	0.2245461512
424	0.2244790649
425	0.2243667342
426	0.2241592527
427	0.2240651156
428	0.2239009574
429	0.2236574713
430	0.223548708
431	0.2233837961
432	0.223302421
433	0.2232513515
434	0.2232251214
435	0.223148963
436	0.2231084747
437	0.2230373275
438	0.2228476689
439	0.2226889615
440	0.222320861
441	0.2221617707
442	0.2220749357
443	0.222002652
444	0.2219018751
445	0.2217903209
446	0.2216690018
447	0.221578023
448	0.2214605684
449	0.2214132821
450	0.2213187585
451	0.2211613242
452	0.2210275101
453	0.2208820873
454	0.2207148505
455	0.220645876
456	0.2205265398
457	0.2203214564
458	0.2202474453
459	0.2201727587
460	0.2200779117
461	0.2200173818
462	0.2198954798
463	0.2197329239
464	0.2196304133
465	0.2194923121
466	0.219411372
467	0.2191040045
468	0.2190148172
469	0.2189098617
470	0.2188188808
471	0.2187029626
472	0.2186302317
473	0.2185448876
474	0.2184271463
475	0.2183719418
476	0.2180834287
477	0.2178532004
478	0.2177161985
479	0.2175307272
480	0.2174105785
481	0.217289304
482	0.2172134945
483	0.2170686513
484	0.2167229418
485	0.2166096826
486	0.2163850329
487	0.2162600657
488	0.2161546395
489	0.2160407489
490	0.2159701158
491	0.2158944616
492	0.2157768972
493	0.21564755
494	0.2154167685
495	0.2152130175
496	0.2151329081
497	0.2150720688
498	0.2149868219
499	0.2148809471
500	0.2146716481
501	0.2145318464
502	0.2144131966
503	0.2143057457
504	0.2141914557
505	0.2140054974
506	0.2139048253
507	0.2137595435
508	0.2136569657
509	0.2135622467
510	0.2134273953
511	0.2133622766
512	0.213265768
513	0.2131779452
514	0.2131317576
515	0.2130550324
516	0.2129909693
517	0.212923337
518	0.2128150848
519	0.2127209309
520	0.2126431111
521	0.2125339552
522	0.2124039795
523	0.2122820827
524	0.2122135475
525	0.212128146
526	0.2120014443
527	0.2119385201
528	0.2118368592
529	0.211748176
530	0.2116877046
531	0.211538361
532	0.2114211115
533	0.2112839377
534	0.2111858382
535	0.2110141728
536	0.2109167121
537	0.2108552786
538	0.2108086947
539	0.2107763194
540	0.2106763496
541	0.2105863469
542	0.2104782933
543	0.2103685272
544	0.2102406822
545	0.2101851525
546	0.2100729572
547	0.2099719852
548	0.2098890806
549	0.20981914
550	0.2097499401
551	0.2096609402
552	0.2095513194
553	0.2094466076
554	0.2093231475
555	0.2091894991
556	0.2089791602
557	0.208843364
558	0.2086772502
559	0.2086183815
560	0.2085216601
561	0.2084722564
562	0.2083590246
563	0.2082686869
564	0.2081468007
565	0.2080131331
566	0.2079231521
567	0.2078430514
568	0.2077865518
569	0.2076995592
570	0.2075361635
571	0.2073514171
572	0.2072119471
573	0.2071411401
574	0.207085929
575	0.207009322
576	0.2068898513
577	0.2068084631
578	0.2067327794
579	0.2066675344
580	0.2065775295
581	0.2064543622
582	0.2064299244
583	0.2063870349
584	0.206297498
585	0.2062121953
586	0.2058060415
587	0.205691043
588	0.2055308121
589	0.2054763849
590	0.2053996842
591	0.205331769
592	0.2052385524
593	0.2050709152
594	0.204836574
595	0.2047203007
596	0.2046116369
597	0.2045710918
598	0.2044991114
599	0.2043573197
600	0.204265463
601	0.2041678355
602	0.2040346477
603	0.2038756677
604	0.203748905
605	0.2036059873
606	0.2035174753
607	0.2034722019
608	0.203394814
609	0.2032887085
610	0.2031675451
611	0.2030859787
612	0.2029859831
613	0.2029262518
614	0.2027692611
615	0.2026824935
616	0.2025999952
617	0.2024646686
618	0.202374574
619	0.2022959141
620	0.2022248474
621	0.2021678124
622	0.202070103
623	0.2019754618
624	0.2018706673
625	0.2017234618
626	0.2016465488
627	0.2015344667
628	0.201418746
629	0.2011611201
630	0.2010906332
631	0.2009250874
632	0.2008566092
633	0.2007577496
634	0.2007190302
635	0.200598344
636	0.2005346581
637	0.2004815958
638	0.2004005042
639	0.2003685875
640	0.200277459
641	0.2001672689
642	0.2001269756
643	0.2000808806
644	0.1999338855
645	0.1998765914
646	0.1998482809
647	0.1998061131
648	0.199752377
649	0.1997346422
650	0.1996812175
651	0.1996250737
652	0.1995115074
653	0.1993881777
654	0.1993572411
655	0.1993011418
656	0.1992133272
657	0.1991448945
658	0.1990902095
659	0.1990214615
660	0.1989000127
661	0.1988450059
662	0.1987957844
663	0.1986552091
664	0.1985957615
665	0.1985022855
666	0.1984677357
667	0.1983594069
668	0.1982400025
669	0.198121021
670	0.1980200645
671	0.1978505986
672	0.197790144
673	0.1977323083
674	0.1976666443
675	0.1975440238
676	0.1974547474
677	0.1973283478
678	0.1972707564
679	0.1971607159
680	0.1971337125
681	0.1970568754
682	0.1969554724
683	0.1968901771
684	0.1968449704
685	0.1966686353
686	0.1966196987
687	0.1965743396
688	0.1965330586
689	0.1964831249
690	0.1962769534
691	0.1961310918
692	0.1960566499
693	0.1959628615
694	0.1958774203
695	0.1957734638
696	0.195721588
697	0.1956967473
698	0.1956527603
699	0.1955521438
700	0.1954545933
701	0.1954115872
702	0.1953693002
703	0.195301652
704	0.1952053458
705	0.1951586962
706	0.1950159489
707	0.1949617345
708	0.1948597952
709	0.1947405589
710	0.1946607753
711	0.1946251818
712	0.1945340924
713	0.194473805
714	0.1943933191
715	0.1942953433
716	0.1941666635
717	0.1941175359
718	0.1940759131
719	0.1940450688
720	0.1940075377
721	0.1939440771
722	0.1938857807
723	0.193789174
724	0.193709362
725	0.1936589691
726	0.1935672207
727	0.1934635601
728	0.1933569151
729	0.1933216856
730	0.1932974472
731	0.1932149294
732	0.1931534553
733	0.1931221507
734	0.1930438823
735	0.192965769
736	0.1929359045
737	0.1928491108
738	0.1928145634
739	0.1927232118
740	0.1926751672
741	0.1925849538
742	0.1925301101
743	0.1924557783
744	0.1923991759
745	0.1922821168
746	0.192177587
747	0.1920577559
748	0.1919684091
749	0.1918248382
750	0.1917674169
751	0.1915978868
752	0.1914440381
753	0.1913520079
754	0.191275143
755	0.1911849264
756	0.1911338969
757	0.1910640568
758	0.1909977129
759	0.1909765401
760	0.1908869887
761	0.1908585522
762	0.1907836978
763	0.1907673521
764	0.1907281258
765	0.1904890284
766	0.1903957929
767	0.1903728348
768	0.1901492238
769	0.1901277426
770	0.1900861116
771	0.1900007727
772	0.1899611476
773	0.1898940834
774	0.1898475402
775	0.18976779
776	0.1897164648
777	0.1896520868
778	0.1895153905
779	0.1894788736
780	0.189406178
781	0.189350104
782	0.1892638445
783	0.1892031993
784	0.1891388042
785	0.1890763865
786	0.1890560533
787	0.1889916179
788	0.1889048349
789	0.1888384394
790	0.1887757031
791	0.188719896
792	0.1886784753
793	0.1886248875
794	0.1886098258
795	0.1885415238
796	0.1884355055
797	0.1883714841
798	0.1883464273
799	0.188305044
800	0.1882044864
801	0.1881201069
802	0.188102733
803	0.1880496069
804	0.188011496
805	0.1879933394
806	0.1878938012
807	0.1878038159
808	0.1877123527
809	0.1876598471
810	0.1876296316
811	0.1875410923
812	0.1874572835
813	0.1874071477
814	0.1873457843
815	0.1871937245
816	0.1871471402
817	0.1871012598
818	0.187049123
819	0.1869931574
820	0.1869261665
821	0.1868511252
822	0.1867765302
823	0.1867333579
824	0.1866391826
825	0.1865860709
826	0.1865044932
827	0.1864514791
828	0.1863973743
829	0.1863422168
830	0.1863008191
831	0.1862215604
832	0.1861486883
833	0.186037372
834	0.1859867799
835	0.1859332954
836	0.1858637327
837	0.1858026349
838	0.1857517258
839	0.1856811353
840	0.1855872469
841	0.1855143232
842	0.1854340839
843	0.1853725415
844	0.1852856112
845	0.1851786894
846	0.1851533175
847	0.1850871215
848	0.1850085234
849	0.1849569151
850	0.1848773535
851	0.1848611211
852	0.1848015559
853	0.1847551979
854	0.1847175142
855	0.1846519333
856	0.184617603
857	0.1845668922
858	0.1845088334
859	0.1844271049
860	0.18435072
861	0.1842500163
862	0.1841896371
863	0.1840359792
864	0.1839933956
865	0.1838595063
866	0.1837476847
867	0.1837054509
868	0.1836845488
869	0.1836358922
870	0.1836013862
871	0.1835400991
872	0.1835042856
873	0.1834418398
874	0.1834004559
875	0.1833475984
876	0.1833159973
877	0.1832317687
878	0.1831511588
879	0.1831189053
880	0.1830591589
881	0.1829612307
882	0.1829008032
883	0.1828584029
884	0.1827554568
885	0.1827354058
886	0.1826879162
887	0.1826461829
888	0.1824708605
889	0.1824320495
890	0.1824128214
891	0.182322838
892	0.1822837191
893	0.1822211048
894	0.1821719405
895	0.18210838
896	0.1820761258
897	0.182031547
898	0.1819730059
899	0.1819258743
900	0.1818280375
901	0.1817739404
902	0.1817051158
903	0.1816544441
904	0.1815828222
905	0.1814897428
906	0.1814456759
907	0.181396521
908	0.181326044
909	0.1812504666
910	0.1812229244
911	0.1811820664
912	0.1811293902
913	0.1810617475
914	0.1810158409
915	0.1809887906
916	0.1809032114
917	0.1807715981
918	0.1806422607
919	0.1805651023
920	0.1804945085
921	0.1804306308
922	0.1803606886
923	0.1803376157
924	0.1802843207
925	0.1802287275
926	0.1801061648
927	0.1800868834
928	0.1800360598
929	0.1798879875
930	0.1798313792
931	0.1797675554
932	0.1796937402
933	0.1796549347
934	0.1795886292
935	0.1795539439
936	0.1794750962
937	0.1794319003
938	0.1793557664
939	0.1793181482
940	0.1792671375
941	0.1792328366
942	0.1792069929
943	0.179132583
944	0.1790535375
945	0.1790033515
946	0.1789652859
947	0.1788848039
948	0.1788381279
949	0.1788092545
950	0.1787683239
951	0.1787369529
952	0.1786680655
953	0.17861818
954	0.1785456934
955	0.1784506676
956	0.1783951772
957	0.1783714491
958	0.1783537316
959	0.178259311
960	0.178224475
961	0.1781666376
962	0.1780598496
963	0.1779563737
964	0.1778951229
965	0.1778473258
966	0.177788442
967	0.1777142004
968	0.1776790821
969	0.1776484044
970	0.1776121857
971	0.17758129
972	0.1775320831
973	0.1774324633
974	0.177372118
975	0.1772607482
976	0.1772057413
977	0.1771642758
978	0.177087321
979	0.1770395475
980	0.176998364
981	0.1769419803
982	0.1769270836
983	0.1768988682
984	0.1768144329
985	0.1767528349
986	0.1767301986
987	0.1766988822
988	0.1766808519
989	0.1766499841
990	0.1766033637
991	0.1765660058
992	0.1765399255
993	0.1764635376
994	0.1764294458
995	0.176369178
996	0.1763289834
997	0.1763133804
998	0.1762830592
999	0.1762371052
